id,judul,poster,alt_judul,tahun,negara_id,sinopsis,availability,linktrailer,status
58,Overlord: The Sacred Kingdom,https://cdn.myanimelist.net/images/anime/1954/144101.jpg,Overlord Movie 3: Sei Oukoku-hen,2024,4,"The Sacred Kingdom has enjoyed a great many years without war thanks to a colossal wall constructed after a historic tragedy. They understand best how fragile peace can be. When the terrible demon Jaldabaoth takes to the field at the head of a united army of monstrous tribes, the Sacred Kingdom's leaders know their defenses are not enough. With the very existence of the country at stake, the pious have no choice but to seek help wherever they can get it, even if it means breaking taboo and parlaying with the undead king of the Nation of Darkness!","Crunchyroll, Netflix",https://www.youtube.com/embed/vniS5g48wHA?enablejsapi=1&wmode=opaque&autoplay=1,Approved
59,The SpongeBob SquarePants Movie,https://xl.movieposterdb.com/15_08/2004/345950/xl_345950_4a997ac0.jpg?v=2024-08-25%2022:27:45,-,2004,10,"SpongeBob takes leave from Bikini Bottom in order to track down, with Patrick, King Neptune's stolen crown.",Netflix,https://youtu.be/47ceXAEr2Oo?si=obQrt5lOPjfWtvCM,Approved
60,The SpongeBob Movie: Sponge Out of Water,https://xl.movieposterdb.com/14_08/2014/2279373/xl_2279373_fd7068e6.jpg?v=2023-08-25%2020:53:52,-,2015,10,"When a diabolical pirate above the sea steals the secret Krabby Patty formula, SpongeBob and his friends team up in order to get it back.",Netflix,https://youtu.be/4zoI4L4x1i0?si=yeutQVxsxUtJr_ua,Approved
61,The SpongeBob Movie: Sponge on the Run,https://xl.movieposterdb.com/21_05/2020/4823776/xl_4823776_ee929659.jpg?v=2024-07-22%2015:50:22,-,2021,10,"After SpongeBob's beloved pet snail Gary is snail-napped, he and Patrick embark on an epic adventure to the Lost City of Atlantic City to bring Gary home.",Netflix,https://youtu.be/a2cowVH03Xo?si=SqYPcZQc8Tp9DSQO,Approved
62,Saving Bikini Bottom: The Sandy Cheeks Movie,https://xl.movieposterdb.com/23_03/0/23063732/xl_saving-bikini-bottom-the-sandy-cheeks-movie-movie-poster_da43a426.jpg,-,2024,10,"When Bikini Bottom is suddenly scooped out of the ocean, Sandy Cheeks and SpongeBob journey to Sandy's home state of Texas, where they meet Sandy's family and must save Bikini Bottom from the hands of an evil CEO.",Netflix,https://youtu.be/Ud6-SGnzH3k?si=c9j26OgFgRx0W_kA,Approved
63,Mr. Bean's Holiday,https://xl.movieposterdb.com/07_08/2007/453451/xl_453451_781d47f2.jpg?v=2024-07-23%2015:02:08,-,2007,10,"Mr. Bean wins a trip to Cannes where he unwittingly separates a young boy from his father and must help the two reunite. On the way he discovers France, bicycling, and true love.",Netflix,https://youtu.be/LZfIzJ6XwPQ?si=EKjeOXWGZpuPc54G,Approved
64,Black Panther,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/fYTKuov1bxZKrli6HoYSqzTPLgY.jpg,-,2018,10,"T'Challa, heir to the hidden but advanced kingdom of Wakanda, must step forward to lead his people into a new future and must confront a challenger from his country's past.",Netflix,https://youtu.be/xjDjIWPwcPU?si=jOYpfoPjbr--vOM6,Approved
65,Thor the dark world,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/wp6OxE4poJ4G7c0U2ZIXasTSMR7.jpg,-,2013,10,"When the Dark Elves attempt to plunge the universe into darkness, Thor must embark on a perilous and personal journey that will reunite him with doctor Jane Foster.",Netflix,https://youtu.be/npvJ9FTgZbM?si=KSBIYQsinBQhFeI9,Approved
66,Ant-Man,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/rQRnQfUl3kfp78nCWq8Ks04vnq1.jpg,-,2015,10,"Armed with a super-suit with the astonishing ability to shrink in scale but increase in strength, cat burglar Scott Lang must embrace his inner hero and help his mentor, Dr. Hank Pym, pull off a plan that will save the world.",Netflix,https://youtu.be/pWdKf3MneyI?si=G8ESHBzqLeSnefN3,Approved
67,Capten Marvel,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/AtsgWhDnHTq68L0lLsUrCnM7TjG.jpg,-,2019,10,Carol Danvers becomes one of the universe's most powerful heroes when Earth is caught in the middle of a galactic war between two alien races.,Netflix,https://youtu.be/Z1BCujX3pw8?si=7BDO34-ax1A_MhJl,Approved
68,Sheriff,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/iOnexbMKOsCXRhIbN81z5gv6nEF.jpg,-,2024,5,"Sheriff and Nazri, police officers from different departments, team up to take down Tony, a ruthless drug kingpin running a methamphetamine syndicate responsible for numerous deaths, known as the Meth Killer.",Netflix,https://youtu.be/gG3UbB_e_UY?si=rkI_-X_dQcQcV9JZ,Approved
69,Fate/stay night [Heaven's Feel] I. presage flower,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/6nEtmBg07DA5BWjcrmD49rxHsVQ.jpg,Gekijouban Fate/stay night [Heaven's Feel] I. presage flower,2017,4,"Shirou Emiya is a young mage who attends Homurahara Academy in Fuyuki City. One day after cleaning the Archery Dojo in his school, he catches a glimpse of a fight between superhuman beings, and he gets involved in the Holy Grail War, a ritual where mages called Masters fight each other with their Servants in order to win the Holy Grail. Shirou joins the battle to stop an evildoer from winning the Grail and to save innocent people, but everything goes wrong when a mysterious ""Shadow"" begins to indiscriminately kill people in Fuyuki.","Crunchyroll, Apple TV, Microsoft Store",https://youtu.be/AMr5pXzpvP0?si=Wrqrp_iXyxIG4dw5,Approved
70,Fate/stay night [Heaven's Feel] II. lost butterfly,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/4tS0iyKQBDFqVpVcH21MSJwXZdq.jpg,Gekijouban Fate/stay night [Heaven's Feel] II. lost butterfly,2019,4,"The story focuses on the Holy Grail War and explores the relationship between Shirou Emiya and Sakura Matou, two teenagers participating in this conflict. The story continues immediately from Fate/stay night: Heaven's Feel I. presage flower, following Shirou as he continues to participate in the Holy Grail War even after being eliminated as a master.","Apple TV, Microsoft Store",https://youtu.be/nfzKXkL_i54?si=zm6E1OQ54bidiUnf,Approved
71,Fate/stay night [Heaven's Feel] III. spring song,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/hIK5kEdFwOHnHTa06ntTVSfG9im.jpg,Gekijouban Fate/stay night [Heaven's Feel] III. spring song,2020,4,"The final chapter in the Heaven's Feel trilogy. Angra Mainyu has successfully possessed his vessel Sakura Matou. It's up to Rin, Shirou, and Rider to cleanse the grail or it will be the end of the world and magecraft as we all know it.","Apple TV, Microsoft Store Google Play Movies",https://youtu.be/KlJIMiZfxCY?si=0Lxh1O7xkwxIXi5d,Approved
72,Real Steel,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/4GIeI5K5YdDUkR3mNQBoScpSFEf.jpg,-,2011,10,"In a near future where robot boxing is a top sport, a struggling ex-boxer feels he's found a champion in a discarded robot.","Netflix, Hotstar, Hulu",https://youtu.be/1VFd5FMbZ64?si=ItKqmKxKBM6r4Whv,Approved
73,Dragon Nest: Warrior's Dawn,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/8fklM49dK7AZ3j8jgycxbRwECGa.jpg,Long Zhi Gu: Po Xiao Qi Bing,2014,1,Lambert joins the Dragon Slayers' League to save Altera from the Black Dragon.,"Apple TV, Microsoft Store, Google Play Movies",https://youtu.be/0ak7gLnPZfw?si=ZbnsWQCARu5FjAqm,Approved
74,knives out,https://cdn.shopify.com/s/files/1/0057/3728/3618/products/726b1b0e4005ab2219e31b5582e0602a_500x749.jpg?v=1573572660,-,2019,10,"A detective investigates the death of the patriarch of an eccentric, combative family.",Netflix,https://www.youtube.com/watch?v=qGqiHJTsRkQ,Approved
75,memento,https://cdn.shopify.com/s/files/1/0057/3728/3618/products/c15059527ae4d9c832dbb365b418369e_7c2bb4af-8bcd-428c-8904-27ddc512a45c_500x749.jpg?v=1573594896,-,2000,10,"Leonard Shelby, an insurance investigator, suffers from anterograde amnesia and uses notes and tattoos to hunt for the man he thinks killed his wife, which is the last thing he remembers.",Peacock Premium Plus,https://www.youtube.com/watch?v=Rq9eM4ZXRgs,Approved
76,the forest gump,https://cdn.shopify.com/s/files/1/0057/3728/3618/products/forrest-gump---24x36_500x749.jpg?v=1645558337,-,1994,10,"The history of the United States from the 1950s to the '70s unfolds from the perspective of an Alabama man with an IQ of 75, who yearns to be reunited with his childhood sweetheart.",Netflix,https://www.youtube.com/watch?v=bLvqoHBptjg&t=105s,Approved
77,pulp fiction,https://cdn.shopify.com/s/files/1/0057/3728/3618/products/ab401c136cca10812cda5ac64c3f7c2e_bb5e62f7-b34f-4547-b5c7-495cc2dd1bd9_500x749.jpg?v=1573591339,-,1994,10,"Jules Winnfield (Samuel L. Jackson) and Vincent Vega (John Travolta) are two hit men who are out to retrieve a suitcase stolen from their employer, mob boss Marsellus Wallace (Ving Rhames). Wallace has also asked Vincent to take his wife Mia (Uma Thurman) out a few days later when Wallace himself will be out of town. Butch Coolidge (Bruce Willis) is an aging boxer who is paid by Wallace to lose his fight. The lives of these seemingly unrelated people are woven together comprising of a series of funny, bizarre and uncalled-for incidents. ??Soumitra",Netflix,https://www.youtube.com/watch?v=tGpTpVyI_OQ&pp=ygUMcHVscCBmaWN0aW9u,Approved
78,the prestige,https://www.movieposters.com/cdn/shop/files/prestige.mp.140332_480x.progressive.jpg?v=1709237534,-,2006,10,"The Prestige (2006) In the end of the nineteenth century, in London, Robert Angier, his beloved wife Julia McCullough, and Alfred Borden are friends and assistants of a magician. When Julia accidentally dies during a performance, Robert blames Alfred for her death, and they become enemies. Both become famous and rival magicians, sabotaging the performance of the other on the stage. When Alfred performs a successful trick, Robert becomes obsessed trying to disclose the secret of his competitor with tragic consequences. ??Claudio Carvalho, Rio de Janeiro, Brazil",Netflix,https://www.youtube.com/watch?v=RLtaA9fFNXU&pp=ygUMdGhlIHByZXN0aWdl,Approved
79,Kung Fu Panda,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/wWt4JYXTg5Wr3xBW2phBrMKgp3x.jpg,-,2008,10,"It's the story about a lazy, irreverent slacker panda, named Po, who is the biggest fan of Kung Fu around...which doesn't exactly come in handy while working every day in his family's noodle shop. Unexpectedly chosen to fulfill an ancient prophecy, Po's dreams become reality when he joins the world of Kung Fu and studies alongside his idols, the legendary Furious Five -- Tigress, Crane, Mantis, Viper and Monkey -- under the leadership of their guru, Master Shifu. But before they know it, the vengeful and treacherous snow leopard Tai Lung is headed their way, and it's up to Po to defend everyone from the oncoming threat. Can he turn his dreams of becoming a Kung Fu master into reality? Po puts his heart - and his girth - into the task, and the unlikely hero ultimately finds that his greatest weaknesses turn out to be his greatest strengths.",Netflix,https://youtu.be/NRc-ze7Wrxw?si=c8c0goe0IM5bOTFE,Approved
80,Kung Fu Panda 2,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/mtqqD00vB4PGRt20gWtGqFhrkd0.jpg,-,2011,10,"After a year of being the dragon warrior, obesitized but fearless Po (Black) is a hero in China along with Crane (Cross), Mantis (Rogen), Monkey (Chan), Viper (Liu), Tigress (Jolie), and Shifu (Hoffman). But trouble pops out when villian Shen (Oldman) begins chaos. Everybody is ready to fight, but Po is unprepared when he learns Shen was his enemy in his infancy.",Netflix,https://youtu.be/FQ63rqSRrEI?si=4aQIoS-g04Kd8n8u,Approved
81,Kung Fu Panda 3,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/oajNi4Su39WAByHI6EONu8G8HYn.jpg,-,2016,10,"When Po's long-lost panda father suddenly reappears, the reunited duo travels to a secret panda paradise to meet scores of hilarious new panda characters. But when the supernatural villain Kai begins to sweep across China defeating all the kung fu masters, Po must do the impossible-learn to train a village full of his fun-loving, clumsy brethren to become the ultimate band of Kung Fu Pandas.",Netflix,https://youtu.be/10r9ozshGVE?si=yfOLpuayyWskwlLi,Approved
82,Kung Fu Panda 4,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/kDp1vUBnMpe8ak4rjgl3cLELqjU.jpg,-,2024,10,"Po is gearing up to become the spiritual leader of his Valley of Peace, but also needs someone to take his place as Dragon Warrior. As such, he will train a new kung fu practitioner for the spot and will encounter a villain called the Chameleon who conjures villains from the past.",Netflix,https://youtu.be/_inKs4eeHiI?si=fT22o2PANv8qVsy_,Approved
83,Kung Fu Hustle,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/xCn3VOST64XpOA8x0gaQkQiZtZY.jpg,-,2004,1,"Set in Canton, China in the 1940s, the story revolves in a town ruled by the Axe Gang, Sing who desperately wants to become a member. He stumbles into a slum ruled by eccentric landlords who turns out to be the greatest kung-fu masters in disguise. Sing's actions eventually cause the Axe Gang and the slumlords to engage in an explosive kung-fu battle. Only one side will win and only one hero will emerge as the greatest kung-fu master of all.",Netflix,https://youtu.be/FtE9-o6dBEI?si=1bE5qcnpSSCvwyjB,Approved
84,Spirited Away,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/39wmItIWsg5sZMyRUHLkWBcuVCM.jpg,Sen to Chihiro no kamikakushi,2001,4,"The fanciful adventures of a ten-year-old girl named Chihiro, who discovers a secret world when she and her family get lost and venture through a hillside tunnel. When her parents undergo a mysterious transformation, Chihiro must fend for herself as she encounters strange spirits, assorted creatures and a grumpy sorceress who seeks to prevent her from returning to the human world",Netflix,https://youtu.be/ByXuk9QqQkk?feature=shared,Approved
85,Princess Mononoke,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/cMYCDADoLKLbB83g4WnJegaZimC.jpg,Mononoke-hime,1997,4,"While protecting his village from rampaging boar-god/demon, a confident young warrior, Ashitaka, is stricken by a deadly curse. To save his life, he must journey to the forests of the west. Once there, he's embroiled in a fierce campaign that humans were waging on the forest. The ambitious Lady Eboshi and her loyal clan use their guns against the gods of the forest and a brave young woman, Princess Mononoke, who was raised by a wolf-god. Ashitaka sees the good in both sides and tries to stem the flood of blood. This is met by animosity by both sides as they each see him as supporting the enemy.",Netflix,https://youtu.be/4OiMOHRDs14?feature=shared,Approved
86,My Neighbor Totoro,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/rtGDOeG9LzoerkDGZF9dnVeLppL.jpg,Tonari no Totoro,1988,4,"Excited about reuniting with their ailing mother, close-knit sisters Satsuki and Mei embark on an exciting adventure when they move with their loving professor father to a new house in the verdant countryside of 1950s summer Japan. Now, nothing can stop them. And with mum in the hospital, the girls have all the time in the world to explore nature and the dense adjacent forest, the home of bashful mystical creatures only children can see. Under the clear blue sky's cloudless bliss and the bright yellow sun's promise of a luminous future, nothing can blemish the young sisters' flawless fantasy--not even life's trying times. After all, mother is getting better. Then, one radiant morning, as the shimmering green leaves of the towering camphor trees swayed in the soft morning breeze, the wide-eyed siblings stumbled upon a Totoro. But who is the enchanting visitor? Will the rotund neighbour, with his fluffy fur and mysterious eyes, be the girls' forever friend?",Netflix,https://youtu.be/92a7Hj0ijLs?feature=shared,Approved
87,The Boy and The Heron,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/f4oZTcfGrVTXKTWg157AwikXqmP.jpg,Kimitachi wa dou ikiru ka,2023,4,"After losing his mother during the war, young Mahito moves to his family's estate in the countryside. There, a series of mysterious events lead him to a secluded and ancient tower, home to a mischievous gray heron. When Mahito's new stepmother disappears, he follows the gray heron into the tower, and enters a fantastic world shared by the living and the dead. As he embarks on an epic journey with the heron as his guide, Mahito must uncover the secrets of this world, and the truth about himself. Featuring the voices of Christian Bale, Dave Bautista, Gemma Chan, Willem Dafoe, Karen Fukuhara, Mark Hamill, Robert Pattinson and Florence Pugh.",Apple tv,https://youtu.be/t5khm-VjEu4?feature=shared,Approved
88,Howl's Moving Castle,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/6pZgH10jhpToPcf0uvyTCPFhWpI.jpg,Hauru no ugoku shiro,2004,4,"With her country's peace constantly under threat, Sophie, a lively but unloved milliner, catches the attention of an unexpected defender. But as the wide-eyed damsel in distress crosses paths with handsome Howl, a talented young magician with excess emotional baggage, a fit of jealousy turns the hat maker's world upside down forever. Now, stained by the indelible mark of the wicked Witch of the Waste, Sophie must move mountains to break the pitiless spell, including facing her fears and the mysterious sorcerer. However, has anyone ever set foot in Howl's impenetrable home, a walking wonder powered by a fiery heart, and lived to tell the tale?",Netflix,https://youtu.be/iwROgK94zcM?feature=shared,Approved
89,Prey,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/aOsPclgSiOqhndI2Xp2ksz2g9n6.jpg ,-,2022,10,"Naru, a skilled warrior of the Comanche Nation, fights to protect her tribe against one of the first highly-evolved Predators to land on Earth.",Netflix,https://www.youtube.com/watch?v=wZ7LytagKlc,Approved
90,The Predator,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/a3eWGF6YPF7No5Rbtjc8QpDvz7l.jpg,-,2018,10,"When a young boy accidentally triggers the universe's most lethal hunters' return to Earth, only a ragtag crew of ex-soldiers and a disgruntled scientist can prevent the end of the human race.",Netflix,https://www.youtube.com/watch?v=WaG1KZqrLvM,Approved
91,Alien: Romulus,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/b33nnKl1GSFbao4l3fZDDqsMx0F.jpg,-,2024,10,"While scavenging the deep ends of a derelict space station, a group of young space colonizers come face to face with the most terrifying life form in the universe.",Netflix,https://youtu.be/OzY2r2JXsDM?si=MbgSoX-pENIohGad,Approved
92,Alien vs Predator: Requiem,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/jCyJN1vj8jqJJ0vNw4hDH2KlySO.jpg,-,2007,10,"Warring Alien and Predator races descend on a rural Colorado town, where unsuspecting residents must band together for any chance of survival.",Netflix,https://www.youtube.com/watch?v=oqLM_21tqyc,Approved
93,Alien vs Predator,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/ySWu5bCnnmgV1cVacvFnFIhgOjp.jpg,-,2004,10,"During an archaeological expedition on Bouvetøya Island in Antarctica, a team of archaeologists and other scientists find themselves caught up in a battle between the two legends. Soon, the team realize that only one species can win.",Netflix,https://www.youtube.com/watch?v=fQE62sQBkqA,Approved
94,Kingsman: The Secret Service,https://a.ltrbxd.com/resized/film-poster/1/4/8/2/0/0/148200-kingsman-the-secret-service-0-1000-0-1500-crop.jpg?v=cd49b739cf,-,2014,1,The story of a super-secret spy organization that recruits an unrefined but promising street kid into the agency’s ultra-competitive training program just as a global threat emerges from a twisted tech genius.,"Netflix, Amazon US",https://www.youtube.com/watch?v=m4NCribDx4U&pp=ygUba2luZ3NtYW4gdGhlIHNlY3JldCBzZXJ2aWNl,Approved
95,Kingsman: The Golden Circle,https://a.ltrbxd.com/resized/sm/upload/3h/o6/gc/iy/yOGf8Or1k78Y6OLdYmTTSGHW1dP-0-1000-0-1500-crop.jpg?v=9a2da8212b,-,2017,1,"When an attack on the Kingsman headquarters takes place and a new villain rises, Eggsy and Merlin are forced to work together with the American agency known as the Statesman to save the world.","Netflix, Amazon US",https://www.youtube.com/watch?v=6Nxc-3WpMbg&pp=ygUaa2luZ3NtYW4gdGhlIGdvbGRlbiBjaXJjbGU%3D,Approved
96,Behind Her Eyes,https://posters.movieposterdb.com/22_06/2021/9698442/l_9698442_818a3641.jpg,-,2021,1,"It follows Louise, a single mum with a son and a part-time job in a psychiatrist's office. She begins an affair with her boss and strikes up an unlikely friendship with his wife.",Netflix,https://www.youtube.com/watch?v=c4LtoWQaLxk&pp=ygUXYmVoaW5kIGhlciBleWVzIHRyYWlsZXI%3D,Approved
97,Baby Driver,https://a.ltrbxd.com/resized/film-poster/2/6/8/9/5/0/268950-baby-driver-0-1000-0-1500-crop.jpg?v=61304ddfc8,-,2017,1,"After being coerced into working for a crime boss, a young getaway driver finds himself taking part in a heist doomed to fail.","Apple TV, Amazon",https://www.youtube.com/watch?v=zTvJJnoWIPk,Approved
98,Back to the Future,https://a.ltrbxd.com/resized/film-poster/5/1/9/4/5/51945-back-to-the-future-0-1000-0-1500-crop.jpg?v=6662417358,-,1985,10,"Eighties teenager Marty McFly is accidentally sent back in time to 1955, inadvertently disrupting his parents’ first meeting and attracting his mother’s romantic interest. Marty must repair the damage to history by rekindling his parents’ romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985.",Amazon Prime,https://www.youtube.com/watch?v=qb7Fd0l_BRo,Approved
99,Ae Dil Hai Mushkil,https://posters.movieposterdb.com/21_11/2016/4559006/l_4559006_2672b3c1.jpg,-,2016,2,"Ayan goes on a quest for true love when Alizeh does not reciprocate his feelings. On his journey, he meets different people who make him realize the power of unrequited love.","Netflix, Amazon Prime, Apple TV",https://www.youtube.com/watch?v=Z_PODraXg4E,Approved
100,Kal Ho Naa Ho,https://posters.movieposterdb.com/12_05/2003/347304/s_347304_e7f7919b.jpg,-,2003,2,"Naina's neighbor, Aman, introduces her to optimism, and makes her fall in love. But tragedy stopped him from moving forward. In fact, he encouraged his friend Rohit to seduce her.","Netflix, Amazon Prime, Apple TV",https://www.youtube.com/watch?v=tVMAQAsjsOU,Approved
101,Kabhi Khushi Kabhie Gham,https://posters.movieposterdb.com/10_08/2001/248126/s_248126_0a404d08.jpg,-,2001,2,"Rahul is sad because his father disapproves of his relationship with the poor Anjali, but still marries her and moves to London. 10 years later, Rahul's younger brother wants to reconcile his father and brother.","Netflix, Amazon Prime, Apple TV",https://www.youtube.com/watch?v=7uY1JbWZKPA,Approved
102,Jab Tak Hai Jaan,https://posters.movieposterdb.com/12_09/2012/2176013/s_2176013_f513dba4.jpg,-,2012,2,"Samar Anand is forced to leave his girlfriend, Khushi (Katrina Kaif). From London, he returns to Kashmir leaving his past behind, and meets Akira, a cheerful woman who works for a television program about wildlife. Will Samar still hope for Khushi or choose to start a new life with Akira?","Amazon Prime, Apple TV",https://www.youtube.com/watch?v=v0UXgoJ9Shg,Approved
103,Bajrangi Bhaijaan,https://posters.movieposterdb.com/15_09/2015/3863552/s_3863552_b160f1f4.jpg,-,2015,2,"Pavan, a devotee of Hanuman, faces various challenges when he tries to reunite Munni with her family after Munni goes missing while traveling back home with her mother.","Disney +, Bstation",https://www.youtube.com/watch?v=4nwAra0mz_Q,Approved
104,Transformers: Revenge of the Fallen,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/pLBb0whOzVDtJvyD4DPeQyQNOqp.jpg,-,2009,10,"A youth chooses manhood. The week Sam Witwicky starts college, the Decepticons make trouble in Shanghai. A presidential envoy believes it's because the Autobots are around; he wants them gone. He's wrong: the Decepticons need access to Sam's mind to see some glyphs imprinted there that will lead them to a fragile object that, when inserted in an alien machine hidden in Egypt for centuries, will give them the power to blow out the sun. Sam, his girlfriend Mikaela Banes, and Sam's parents are in danger. Optimus Prime and Bumblebee are Sam's principal protectors. If one of them goes down, what becomes of Sam?",Netflix,https://youtu.be/fnXzKwUgDhg?si=OQS8kGFiwTr7QiNx,Approved
105,Transformers: Dark of the Moon,https://m.media-amazon.com/images/M/MV5BMTkwOTY0MTc1NV5BMl5BanBnXkFtZTcwMDQwNjA2NQ@@._V1_FMjpg_UY478_.jpg,-,2011,10,"Autobots Bumblebee, Ratchet, Ironhide, Mirage (aka Dino), Wheeljack (aka Que) and Sideswipe led by Optimus Prime, are back in action taking on the evil Decepticons, who are eager to avenge their recent defeat. The Autobots and Decepticons become involved in a perilous space race between the United States and Russia to reach a hidden Cybertronian spacecraft on the moon and learn its secrets, and once again Sam Witwicky has to go to the aid of his robot friends. The new villain Shockwave is on the scene while the Autobots and Decepticons continue to battle it out on Earth.",Netflix,https://youtu.be/97wCoDn0RrA?si=e5YzLTIFpIwrYnYe,Approved
106,Transformers: Age of Extinction,https://m.media-amazon.com/images/M/MV5BMjEwNTg1MTA5Nl5BMl5BanBnXkFtZTgwOTg2OTM4MTE@._V1_FMjpg_UY749_.jpg,-,2014,10,"After the battle between the Autobots and Decepticons that leveled Chicago, humanity thinks that all alien robots are a threat. So Harold Attinger, a CIA agent, establishes a unit whose sole purpose is to hunt down all of them. But it turns out that they are aided by another alien robot who is searching for Optimus Prime. Cade Yeager, a ""robotics expert"", buys an old truck and upon examining it, he thinks it's a Transformer. When he powers it up, he discovers it's Optimus Prime. Later, men from the unit show up looking for Optimus. He helps Yeager and his daughter Tessa escape but are pursued by the hunter. They escape and Yeager learns from technology he took from the men that a technology magnate and defense contractor named Joshua Joyce is part of what's going on, so they go to find out what's going on.",Netflix,https://youtu.be/T9bQCAWahLk?si=8FrmWIM7-aw4mbPX,Approved
107,Transformers: The Last Knight,https://m.media-amazon.com/images/M/MV5BYWNlNjU3ZTItYTY3Mi00YTU1LTk4NjQtYjQ3MjFiNjcyODliXkEyXkFqcGc@._V1_.jpg,-,2017,10,"Having left Earth, Optimus Prime finds his dead home planet, Cybertron, and discovers that he was in fact responsible for its destruction. Optimus learns that he can bring Cybertron back to life, but in order to do so, he will need an artifact that is hidden on Earth.",Netflix,https://youtu.be/6Vtf0MszgP8?si=jChC9qfWPfCUXZIv,Approved
108,Transformers: Rise of the Beasts,https://m.media-amazon.com/images/M/MV5BZTVkZWY5MmItYjY3OS00OWY3LTg2NWEtOWE1NmQ4NGMwZGNlXkEyXkFqcGc@._V1_FMjpg_UY711_.jpg,-,2023,10,"Returning to the action and spectacle that has captivated moviegoers around the world, Transformers: Rise of the Beasts will take audiences on a global '90s adventure with the Autobots and introduce a new faction of Transformers - the Maximals - to join them as allies in the war. the ongoing battle on earth. Directed by Steven Caple Jr. and starring Anthony Ramos and Dominique Fishback",Netflix,https://youtu.be/itnqEauWQZM?si=7JF9i9hFZ3PDlpPw,Approved
109,Spider-Man : Homecoming,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/c24sv2weTHPsmDa7jEMN0m2P3RT.jpg,-,2017,10,Peter Parker tries to stop Adrian 'The Vulture' Toomes from selling weapons made with advanced Chitauri technology while trying to balance his life as an ordinary high school student.,Netflix,https://youtu.be/rk-dF1lIbIg?si=AyYI2nZrJdrBQDIm,Approved
110,Spider-Man : Far From Home,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/4q2NNj4S5dG2RLF9CpXsej7yXl.jpg,-,2019,10,"Peter Parker, the beloved superhero Spider-Man, faces four destructive elemental monsters while on holiday in Europe. Soon, he receives help from Mysterio, a fellow hero with mysterious origins.",Netflix,https://youtu.be/Nt9L1jCKGnE?si=UPt6mE-cSS95j5rG,Approved
111,Finding Nemo,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/eHuGQ10FUzK1mdOY69wF5pGgEf5.jpg,-,2003,10,"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.",Disney +,https://youtu.be/9oQ628Seb9w?si=aUyIDJTghK1HCNIX,Approved
112,Finding Dory,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/yFjVlsJmEMacU0BNUwdGZlo2ixq.jpg,-,2016,10,Friendly but forgetful blue tang Dory begins a search for her long-lost parents and everyone learns a few things about the real meaning of family along the way.,Disney +,https://youtu.be/JhvrQeY3doI?si=Ee2QRlj9G8v45RFc,Approved
113,Danur: I Can See Ghosts,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/rqTxkcoq31q3mRJMV1iXexTanIE.jpg,-,2017,3,"As a young girl, Risa has the ability to see ghosts. Due to her parents busy with work, Risa befriends 3 ghosts in her estate. However things turned south when a malevolent spirit decided to take her younger sister. Risa will soon find out what secret lies in her house.",,https://youtu.be/YLU6Qfi0cDY?si=FEASPlafSDOjNHmU,Approved
114,Danur 2: Maddah,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/2j3srEVS1DKT0jzkRnxjJZRLdSQ.jpg,-,2018,3,"As Risa's ability to see ghosts continues to disrupt her life, her uncle's peculiar behavior leads her to discover a haunting mystery at his new house.",,https://youtu.be/bMQrdGnYX9E?si=eCIb9kCY3w2CSYS1,Approved
